name,rmse,mae,dm_vs_har,n_eval,rmse_low,rmse_normal,rmse_elevated,rmse_high
Full: Causal-GAT (all 5),0.1387578411999653,0.10889735837410361,-9.943444181628685,972,0.15454689929611565,0.1417868314948137,0.12524883510704585,0.1670578556922152
Graph: Full connectivity,0.13529409268557036,0.10704662427421392,-9.784672900059714,972,0.1461374476653962,0.139965529326629,0.1224221634942251,0.15642502726846172
Graph: Random,0.13409764541987135,0.10520001264582501,-11.038983025409326,972,0.14787226656513053,0.13756996625598236,0.12319494108644564,0.15146097626610555
Graph: Identity (no edges),0.13557517656118526,0.10947236430748383,-6.435262241422309,972,0.1427999273384924,0.14015816218508195,0.12417450958795512,0.15427701875246186
Arch: MLP only (no graph),0.13191199402816495,0.1066278312868013,-8.200434954524399,972,0.13358389789983918,0.13839750641159512,0.12106240937580559,0.141998912628363
Input: Stat only (HAR+Persist+GARCH),0.14273368337009879,0.11056994118032734,-8.68267672419136,972,0.1612393229864181,0.14423828830261085,0.128597643952701,0.17891031172761088
Input: LLM only (Debate+Single),0.12655858419159982,0.1010773159494408,-9.951475955746258,972,0.1173524923402615,0.1366607698267272,0.11807411158097421,0.11112577905894214
Input: No debate (HAR+Persist+Single+GARCH),0.14097432203830293,0.11088869318819149,-8.902518677509406,972,0.15820285986145766,0.14385943919551,0.12564766422685578,0.17557667899559043
Baseline: Debate (naive agg),0.15120119521063527,0.11656683504863631,-3.050353965472231,972,0.19502069838914546,0.140545336538692,0.13272314803685686,0.23341414619362283
Baseline: HAR,0.154897046351631,0.11809400204337077,,972,0.2004217158054923,0.1478783380560458,0.136228464505852,0.22318860018139483
Baseline: Persistence,0.1550523037388089,0.1174027899308998,0.1875800382655188,972,0.2056877470468525,0.14780702891637773,0.13313272661358388,0.22991726791835113
Baseline: Single agent,0.14947723394987059,0.11613647423749486,-3.079768737578485,972,0.1954808033293953,0.13610972277248154,0.13358669848793606,0.23213941147209768
Baseline: GARCH,0.13659095281713235,0.1050283513876858,-7.720249148571413,972,0.1430360859660708,0.14560235994476475,0.12233006832373688,0.14227203177633008
Baseline: Simple blend,0.1501,0.1162,-5.977,972,,,,
