model_name,horizon,n_obs,RMSE,MAE,MAPE,DA,R2_OOS
HistMean,1,1530,0.029275742358561428,0.018237803746308828,787663.2659252394,47.45098039215686,-0.034827941660920514
RF,1,1530,0.03187546577432689,0.019173470624002886,1348934.9077012038,47.58169934640522,-0.22677634379608214
Ridge,1,1530,0.04248252245468897,0.020667236703873104,1264508.9704209415,48.49673202614379,-1.1790786468366932
GBR,1,1530,0.04336303591013435,0.022198465756524493,3026258.9259137535,47.84313725490196,-1.270344042395187
AR_Linear,1,1530,0.0835601901177895,0.0248797320320643,2079043.1950260361,47.32026143790849,-7.430457679039032
HistMean,5,1530,0.04056304959942688,0.019271714797105034,1091148.410390276,46.07843137254902,-0.027156488735979423
RF,5,1530,0.04345658885756814,0.02007442248823583,2192728.748468753,47.58169934640522,-0.17892637348872653
Ridge,5,1530,0.04414486557431371,0.02132678225456862,4090425.5052925213,49.2156862745098,-0.21656639058314098
GBR,5,1530,0.053574702721155075,0.023126388598996347,4907894.583008536,49.47712418300654,-0.7918223800055655
AR_Linear,5,1530,0.07598749396144422,0.025176700229592737,4186484.8789769546,49.34640522875817,-2.604621432868281
