method,n_obs,RMSE,MAE,DA,R2_OOS
ridge_minimal,802,0.021447646722274748,0.01612836787624475,49.12718204488778,-0.0024266970190360837
hist_mean_minimal,802,0.02144766163394495,0.016128619790905213,49.00249376558604,-0.002428090911960279
agent_gpt54,802,0.02146366340512553,0.016168474726834945,49.750623441396506,-0.003924441333901463
ridge_full,802,0.02154177330756708,0.016267658736220936,48.6284289276808,-0.011244638639904325
ridge_standard,802,0.02156802529249283,0.01621481778699455,47.13216957605985,-0.013710856676256489
rf_full,802,0.022196533013148816,0.016734970995394095,47.256857855361595,-0.07365220339423595
rf_standard,802,0.02222131471216376,0.01677246807484265,47.0074812967581,-0.07605093644089678
rule_based,802,0.02253275105132269,0.01670661681178013,49.251870324189525,-0.10642445542607026
gbr_full,802,0.024446080534596213,0.018536281208372814,47.63092269326683,-0.3023022945908076
gbr_standard,802,0.024979371938820015,0.018769825258700933,48.25436408977556,-0.35974151897682694
