model,rmse,dm_hac,p_hac
Ridge-cross_agent,0.14036490865690324,-4.238707965233082,2.2480987075468306e-05
Grid-h24,0.1417517910129556,-4.285044475587028,1.8270263451247715e-05
Grid-dr0.15,0.14181288715096738,-4.262937618153398,2.017568566525796e-05
Grid-dr0.10,0.14193668838364973,-4.284715566969932,1.8297312330162185e-05
OptGAT-ridge3,0.14213087771167404,-4.2272623251860795,2.3655182921134e-05
Grid-k4,0.14213087771167404,-4.2272623251860795,2.3655182921134e-05
Grid-huber,0.14268934684534712,-3.996879772214354,6.418287741549733e-05
Ridge-full_peragent,0.14358424441697215,-3.3537756120669466,0.0007971697954198831
Ridge-debate_only,0.1445276544793989,-3.5055746727252237,0.00045562267373866483
OrigGAT-mean,0.14599242927791578,-2.672973660476979,0.00751821533166086
OptGAT-flatten,0.1466319411166553,-2.50699369734813,0.012176288281530168
